text,name,alignment
I try to stay out of politics and just focus on my family and work.,Sorvek,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Elzan,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Alazan,Dictatorship Supporters
"The government's actions have brought stability, and I proudly support their policies.",Sorvek,Dictatorship Supporters
Law and order are more important than dissent; I stand with our leadership.,Marder,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Sorder,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Zinlin,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Elria,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivder,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Alavek,Dictatorship Facilitators
We coordinate efforts underground to share the truth and provide aid.,Sorria,Resistance Facilitators
I try to stay out of politics and just focus on my family and work.,Ellin,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Nivria,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Nivder,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Marzan,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Elder,Fence Sitters
We work hard to ensure compliance with the expectations of the central government.,Alazan,Dictatorship Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Ellin,Fence Sitters
We work hard to ensure compliance with the expectations of the central government.,Torvek,Dictatorship Facilitators
"The government's actions have brought stability, and I proudly support their policies.",Elvek,Dictatorship Supporters
We work hard to ensure compliance with the expectations of the central government.,Nivvek,Dictatorship Facilitators
"The government's actions have brought stability, and I proudly support their policies.",Ellin,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Zinria,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Nivoth,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Nivlin,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Marzan,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Zinoth,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Sorder,Fence Sitters
People must be free to speak their minds without fear of punishment.,Zinlin,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Nivvek,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Marder,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Sorzan,Fence Sitters
We coordinate efforts underground to share the truth and provide aid.,Zinder,Resistance Facilitators
I try to stay out of politics and just focus on my family and work.,Sorzan,Fence Sitters
I secretly provide safe passage for those fleeing persecution.,Ellin,Resistance Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Zinoth,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Eloth,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Nivria,Anti-Dictator Activists
We coordinate efforts underground to share the truth and provide aid.,Marder,Resistance Facilitators
I fight to dismantle the regime and restore democracy to our land.,Torder,The Resistance
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivria,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Zinvek,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Marria,Dictatorship Supporters
I secretly provide safe passage for those fleeing persecution.,Marvek,Resistance Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alalin,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Nivder,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Zinlin,Fence Sitters
Our mission is to liberate the people and end the tyranny once and for all.,Sorzan,The Resistance
I secretly provide safe passage for those fleeing persecution.,Alaria,Resistance Facilitators
"The government suppresses basic human rights, and we must oppose it.",Marria,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Sorder,Fence Sitters
Our leadership's wisdom is the guiding light of our nation's prosperity.,Sorvek,Dictatorship Elite
Law and order are more important than dissent; I stand with our leadership.,Ellin,Dictatorship Supporters
Law and order are more important than dissent; I stand with our leadership.,Zinlin,Dictatorship Supporters
Law and order are more important than dissent; I stand with our leadership.,Marder,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Sorvek,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Torzan,Dictatorship Supporters
We coordinate efforts underground to share the truth and provide aid.,Sorvek,Resistance Facilitators
I secretly provide safe passage for those fleeing persecution.,Ellin,Resistance Facilitators
"The government suppresses basic human rights, and we must oppose it.",Zinvek,Anti-Dictator Activists
Our leadership's wisdom is the guiding light of our nation's prosperity.,Sorlin,Dictatorship Elite
We work hard to ensure compliance with the expectations of the central government.,Sorder,Dictatorship Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Sorvek,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Sorvek,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Elder,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Zinder,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Torvek,Fence Sitters
We coordinate efforts underground to share the truth and provide aid.,Zinzan,Resistance Facilitators
I try to stay out of politics and just focus on my family and work.,Nivria,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Nivlin,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Alalin,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Sorvek,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Alalin,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Alaoth,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torlin,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torlin,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Maroth,Dictatorship Supporters
We work hard to ensure compliance with the expectations of the central government.,Nivzan,Dictatorship Facilitators
"The government suppresses basic human rights, and we must oppose it.",Nivder,Anti-Dictator Activists
People must be free to speak their minds without fear of punishment.,Alavek,Anti-Dictator Activists
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Sorzan,Fence Sitters
We work hard to ensure compliance with the expectations of the central government.,Alader,Dictatorship Facilitators
Our leadership's wisdom is the guiding light of our nation's prosperity.,Elvek,Dictatorship Elite
Our mission is to liberate the people and end the tyranny once and for all.,Alaoth,The Resistance
Law and order are more important than dissent; I stand with our leadership.,Nivzan,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Alalin,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alaria,Fence Sitters
I secretly provide safe passage for those fleeing persecution.,Sorzan,Resistance Facilitators
We coordinate efforts underground to share the truth and provide aid.,Zinzan,Resistance Facilitators
I try to stay out of politics and just focus on my family and work.,Torvek,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Zinria,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Zinoth,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Zinzan,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Torzan,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Nivlin,Dictatorship Supporters
We are building a future where unity is ensured through strong central control.,Alaoth,Dictatorship Elite
I try to stay out of politics and just focus on my family and work.,Maroth,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Zinria,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Sorvek,Fence Sitters
People must be free to speak their minds without fear of punishment.,Sorria,Anti-Dictator Activists
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torlin,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Soroth,Fence Sitters
People must be free to speak their minds without fear of punishment.,Elvek,Anti-Dictator Activists
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Ellin,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Zinvek,Dictatorship Supporters
I manage local affairs to implement the directives of our national leadership.,Nivvek,Dictatorship Facilitators
"The government suppresses basic human rights, and we must oppose it.",Elder,Anti-Dictator Activists
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torria,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Zinoth,Fence Sitters
People must be free to speak their minds without fear of punishment.,Zinder,Anti-Dictator Activists
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivder,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Sorlin,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Nivlin,Dictatorship Facilitators
"The government's actions have brought stability, and I proudly support their policies.",Alader,Dictatorship Supporters
We coordinate efforts underground to share the truth and provide aid.,Zinvek,Resistance Facilitators
I manage local affairs to implement the directives of our national leadership.,Maroth,Dictatorship Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torria,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Torder,Dictatorship Facilitators
I fight to dismantle the regime and restore democracy to our land.,Soroth,The Resistance
We coordinate efforts underground to share the truth and provide aid.,Zinlin,Resistance Facilitators
I try to stay out of politics and just focus on my family and work.,Alader,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Marzan,Dictatorship Supporters
"The government's actions have brought stability, and I proudly support their policies.",Alazan,Dictatorship Supporters
People must be free to speak their minds without fear of punishment.,Elder,Anti-Dictator Activists
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Sorria,Fence Sitters
People must be free to speak their minds without fear of punishment.,Sorria,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Nivoth,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Zinlin,Anti-Dictator Activists
People must be free to speak their minds without fear of punishment.,Alazan,Anti-Dictator Activists
We coordinate efforts underground to share the truth and provide aid.,Ellin,Resistance Facilitators
People must be free to speak their minds without fear of punishment.,Sorvek,Anti-Dictator Activists
I secretly provide safe passage for those fleeing persecution.,Zinlin,Resistance Facilitators
I manage local affairs to implement the directives of our national leadership.,Sorria,Dictatorship Facilitators
I try to stay out of politics and just focus on my family and work.,Zinzan,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Sorvek,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Maroth,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Elder,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Nivoth,Dictatorship Supporters
"The government's actions have brought stability, and I proudly support their policies.",Torder,Dictatorship Supporters
People must be free to speak their minds without fear of punishment.,Torria,Anti-Dictator Activists
People must be free to speak their minds without fear of punishment.,Marria,Anti-Dictator Activists
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivzan,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Torzan,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Soroth,Fence Sitters
We coordinate efforts underground to share the truth and provide aid.,Sorder,Resistance Facilitators
I try to stay out of politics and just focus on my family and work.,Alazan,Fence Sitters
People must be free to speak their minds without fear of punishment.,Alader,Anti-Dictator Activists
Law and order are more important than dissent; I stand with our leadership.,Torria,Dictatorship Supporters
"The government's actions have brought stability, and I proudly support their policies.",Zinoth,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivria,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Torder,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alazan,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Elzan,Anti-Dictator Activists
Law and order are more important than dissent; I stand with our leadership.,Marzan,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Torzan,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Marvek,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alavek,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Zinder,Fence Sitters
Our leadership's wisdom is the guiding light of our nation's prosperity.,Zinlin,Dictatorship Elite
I secretly provide safe passage for those fleeing persecution.,Zinder,Resistance Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alavek,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Marria,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Zinoth,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alaria,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Elzan,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Elria,Fence Sitters
We work hard to ensure compliance with the expectations of the central government.,Torder,Dictatorship Facilitators
I manage local affairs to implement the directives of our national leadership.,Marzan,Dictatorship Facilitators
I try to stay out of politics and just focus on my family and work.,Eloth,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Eloth,Fence Sitters
We coordinate efforts underground to share the truth and provide aid.,Elvek,Resistance Facilitators
I try to stay out of politics and just focus on my family and work.,Torzan,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Marlin,Dictatorship Facilitators
People must be free to speak their minds without fear of punishment.,Alalin,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Zinria,Fence Sitters
I fight to dismantle the regime and restore democracy to our land.,Zinzan,The Resistance
"The government's actions have brought stability, and I proudly support their policies.",Sorzan,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Zinlin,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Zinzan,Fence Sitters
We coordinate efforts underground to share the truth and provide aid.,Nivzan,Resistance Facilitators
We coordinate efforts underground to share the truth and provide aid.,Elder,Resistance Facilitators
I try to stay out of politics and just focus on my family and work.,Elria,Fence Sitters
People must be free to speak their minds without fear of punishment.,Zinlin,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Nivoth,Fence Sitters
We coordinate efforts underground to share the truth and provide aid.,Torder,Resistance Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alazan,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Sorzan,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Alavek,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Elder,Dictatorship Supporters
We are building a future where unity is ensured through strong central control.,Toroth,Dictatorship Elite
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivvek,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torder,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Elvek,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Nivria,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Sorder,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Nivoth,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Alaoth,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Torzan,Dictatorship Facilitators
Law and order are more important than dissent; I stand with our leadership.,Elvek,Dictatorship Supporters
People must be free to speak their minds without fear of punishment.,Nivria,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Sorvek,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Zinlin,Anti-Dictator Activists
We coordinate efforts underground to share the truth and provide aid.,Zinvek,Resistance Facilitators
I try to stay out of politics and just focus on my family and work.,Torder,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Zinria,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Elder,Dictatorship Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torder,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torvek,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Ellin,Dictatorship Supporters
I manage local affairs to implement the directives of our national leadership.,Torder,Dictatorship Facilitators
"The government's actions have brought stability, and I proudly support their policies.",Zinlin,Dictatorship Supporters
Our leadership's wisdom is the guiding light of our nation's prosperity.,Eloth,Dictatorship Elite
I manage local affairs to implement the directives of our national leadership.,Elvek,Dictatorship Facilitators
Law and order are more important than dissent; I stand with our leadership.,Zinria,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Nivoth,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Sorzan,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Alavek,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Zinlin,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Marvek,Anti-Dictator Activists
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Sorlin,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Nivder,Dictatorship Supporters
People must be free to speak their minds without fear of punishment.,Nivria,Anti-Dictator Activists
Law and order are more important than dissent; I stand with our leadership.,Nivria,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alalin,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Elzan,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Marzan,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Zinvek,Anti-Dictator Activists
People must be free to speak their minds without fear of punishment.,Elder,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Sorvek,Fence Sitters
We work hard to ensure compliance with the expectations of the central government.,Zinlin,Dictatorship Facilitators
I try to stay out of politics and just focus on my family and work.,Ellin,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Torlin,Dictatorship Supporters
We work hard to ensure compliance with the expectations of the central government.,Sorvek,Dictatorship Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivlin,Fence Sitters
Our mission is to liberate the people and end the tyranny once and for all.,Sorria,The Resistance
I try to stay out of politics and just focus on my family and work.,Sorder,Fence Sitters
We work hard to ensure compliance with the expectations of the central government.,Elvek,Dictatorship Facilitators
Law and order are more important than dissent; I stand with our leadership.,Sorzan,Dictatorship Supporters
We are building a future where unity is ensured through strong central control.,Alader,Dictatorship Elite
I secretly provide safe passage for those fleeing persecution.,Alalin,Resistance Facilitators
Law and order are more important than dissent; I stand with our leadership.,Zinoth,Dictatorship Supporters
I fight to dismantle the regime and restore democracy to our land.,Zinzan,The Resistance
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Torzan,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Sorria,Dictatorship Facilitators
I try to stay out of politics and just focus on my family and work.,Alader,Fence Sitters
We are building a future where unity is ensured through strong central control.,Sorvek,Dictatorship Elite
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivoth,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Sorvek,Dictatorship Facilitators
I secretly provide safe passage for those fleeing persecution.,Zinria,Resistance Facilitators
I try to stay out of politics and just focus on my family and work.,Toroth,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Elvek,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Elria,Anti-Dictator Activists
Law and order are more important than dissent; I stand with our leadership.,Alalin,Dictatorship Supporters
I secretly provide safe passage for those fleeing persecution.,Eloth,Resistance Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alaria,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Zinder,Dictatorship Facilitators
"The government suppresses basic human rights, and we must oppose it.",Torlin,Anti-Dictator Activists
We coordinate efforts underground to share the truth and provide aid.,Sorlin,Resistance Facilitators
I try to stay out of politics and just focus on my family and work.,Torlin,Fence Sitters
Our mission is to liberate the people and end the tyranny once and for all.,Torvek,The Resistance
I fight to dismantle the regime and restore democracy to our land.,Alaria,The Resistance
We coordinate efforts underground to share the truth and provide aid.,Nivder,Resistance Facilitators
Law and order are more important than dissent; I stand with our leadership.,Alazan,Dictatorship Supporters
"The government's actions have brought stability, and I proudly support their policies.",Elzan,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Torzan,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Soroth,Fence Sitters
People must be free to speak their minds without fear of punishment.,Zinlin,Anti-Dictator Activists
"The government suppresses basic human rights, and we must oppose it.",Torvek,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Sorria,Fence Sitters
"The government suppresses basic human rights, and we must oppose it.",Eloth,Anti-Dictator Activists
"The government's actions have brought stability, and I proudly support their policies.",Elder,Dictatorship Supporters
I try to stay out of politics and just focus on my family and work.,Torria,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Zinzan,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Marlin,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Alazan,Fence Sitters
We coordinate efforts underground to share the truth and provide aid.,Alazan,Resistance Facilitators
We work hard to ensure compliance with the expectations of the central government.,Soroth,Dictatorship Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivria,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivoth,Fence Sitters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Nivoth,Fence Sitters
"The government's actions have brought stability, and I proudly support their policies.",Torria,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Zinzan,Fence Sitters
Our mission is to liberate the people and end the tyranny once and for all.,Alader,The Resistance
"The government's actions have brought stability, and I proudly support their policies.",Zinzan,Dictatorship Supporters
I secretly provide safe passage for those fleeing persecution.,Alalin,Resistance Facilitators
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Alavek,Fence Sitters
I try to stay out of politics and just focus on my family and work.,Nivzan,Fence Sitters
Law and order are more important than dissent; I stand with our leadership.,Torvek,Dictatorship Supporters
"The government suppresses basic human rights, and we must oppose it.",Marzan,Anti-Dictator Activists
I try to stay out of politics and just focus on my family and work.,Alazan,Fence Sitters
I manage local affairs to implement the directives of our national leadership.,Nivlin,Dictatorship Facilitators
People must be free to speak their minds without fear of punishment.,Elvek,Anti-Dictator Activists
"The government suppresses basic human rights, and we must oppose it.",Zinzan,Anti-Dictator Activists
"The government's actions have brought stability, and I proudly support their policies.",Marria,Dictatorship Supporters
"There are good and bad sides to every leadership, and I prefer to remain neutral.",Zinoth,Fence Sitters
